timestamp,mac_hash,rssi,gps_fix,lat,lon
2026-02-08 10:59:51,d9b2fbc49f93bf04,-94,1,17.45611,78.41744
2026-02-08 10:59:57,d9b2fbc49f93bf04,-95,1,17.45609,78.41746
2026-02-08 11:00:02,d9b2fbc49f93bf04,-94,1,17.45610,78.41746
2026-02-08 11:00:09,d9b2fbc49f93bf04,-93,1,17.45611,78.41747
2026-02-08 11:00:16,d9b2fbc49f93bf04,-94,1,17.45608,78.41745
2026-02-08 11:02:45,d9b2fbc49f93bf04,-92,1,17.45615,78.41743
2026-02-08 11:02:49,d9b2fbc49f93bf04,-90,1,17.45613,78.41742
2026-02-08 11:02:51,d9b2fbc49f93bf04,-93,1,17.45613,78.41742
2026-02-08 11:02:58,d9b2fbc49f93bf04,-91,1,17.45610,78.41744
2026-02-08 11:03:00,43b2fd326b732ee9,-95,1,17.45608,78.41747
2026-02-08 11:03:05,d9b2fbc49f93bf04,-92,1,17.45612,78.41748
2026-02-08 11:03:12,d9b2fbc49f93bf04,-91,1,17.45614,78.41749
2026-02-08 11:03:16,d9b2fbc49f93bf04,-90,1,17.45613,78.41751
2026-02-08 11:03:19,d9b2fbc49f93bf04,-89,1,17.45612,78.41751
2026-02-08 11:03:23,d9b2fbc49f93bf04,-92,1,17.45612,78.41751
2026-02-08 11:03:26,d9b2fbc49f93bf04,-91,1,17.45612,78.41750
2026-02-08 11:03:33,d9b2fbc49f93bf04,-92,1,17.45611,78.41750
2026-02-08 11:03:47,d9b2fbc49f93bf04,-89,1,17.45610,78.41752
2026-02-08 11:03:54,d9b2fbc49f93bf04,-90,1,17.45608,78.41751
2026-02-08 11:04:05,d9b2fbc49f93bf04,-91,1,17.45612,78.41749
2026-02-08 11:04:08,d9b2fbc49f93bf04,-90,1,17.45608,78.41750
2026-02-08 11:04:19,d9b2fbc49f93bf04,-90,1,17.45611,78.41749
2026-02-08 11:04:22,d9b2fbc49f93bf04,-89,1,17.45611,78.41747
2026-02-08 11:04:26,d9b2fbc49f93bf04,-90,1,17.45611,78.41747
2026-02-08 11:04:29,d9b2fbc49f93bf04,-90,1,17.45609,78.41748
2026-02-08 11:04:40,d9b2fbc49f93bf04,-91,1,17.45617,78.41747
2026-02-08 11:04:47,d9b2fbc49f93bf04,-92,1,17.45619,78.41745
2026-02-08 11:04:57,d9b2fbc49f93bf04,-92,1,17.45620,78.41742
2026-02-08 11:05:11,d9b2fbc49f93bf04,-90,1,17.45621,78.41743
2026-02-08 11:05:15,d9b2fbc49f93bf04,-89,1,17.45619,78.41743
2026-02-08 11:05:18,d9b2fbc49f93bf04,-90,1,17.45621,78.41742
2026-02-08 11:05:26,d9b2fbc49f93bf04,-90,1,17.45622,78.41741
2026-02-08 11:05:40,d9b2fbc49f93bf04,-89,1,17.45620,78.41742
2026-02-08 11:05:43,d9b2fbc49f93bf04,-90,1,17.45620,78.41741
2026-02-08 11:05:47,d9b2fbc49f93bf04,-90,1,17.45620,78.41742
2026-02-08 11:05:50,d9b2fbc49f93bf04,-88,1,17.45621,78.41742
2026-02-08 11:05:53,d9b2fbc49f93bf04,-94,1,17.45623,78.41741
2026-02-08 11:05:57,d9b2fbc49f93bf04,-91,1,17.45622,78.41741
2026-02-08 11:05:59,8b30766de61a1f76,-97,1,17.45621,78.41742
2026-02-08 11:06:01,d9b2fbc49f93bf04,-88,1,17.45621,78.41742
2026-02-08 11:06:07,d9b2fbc49f93bf04,-91,1,17.45617,78.41744
2026-02-08 11:06:11,d9b2fbc49f93bf04,-89,1,17.45619,78.41744
2026-02-08 11:06:21,d9b2fbc49f93bf04,-91,1,17.45618,78.41743
2026-02-08 11:06:42,d9b2fbc49f93bf04,-91,1,17.45619,78.41740
2026-02-08 11:06:49,d9b2fbc49f93bf04,-91,1,17.45620,78.41741
2026-02-08 11:06:56,d9b2fbc49f93bf04,-97,1,17.45621,78.41740
2026-02-08 11:07:03,d9b2fbc49f93bf04,-93,1,17.45617,78.41744
2026-02-08 11:07:07,d9b2fbc49f93bf04,-97,1,17.45617,78.41744
2026-02-08 11:07:14,d9b2fbc49f93bf04,-94,1,17.45620,78.41743
2026-02-08 11:07:17,d9b2fbc49f93bf04,-91,1,17.45620,78.41741
2026-02-08 11:07:21,d9b2fbc49f93bf04,-92,1,17.45618,78.41741
2026-02-08 11:07:28,d9b2fbc49f93bf04,-91,1,17.45619,78.41742
2026-02-08 11:07:31,d9b2fbc49f93bf04,-90,1,17.45617,78.41742
2026-02-08 11:07:35,d9b2fbc49f93bf04,-91,1,17.45618,78.41741
2026-02-08 11:07:38,d9b2fbc49f93bf04,-89,1,17.45618,78.41741
2026-02-08 11:07:42,d9b2fbc49f93bf04,-89,1,17.45617,78.41742
2026-02-08 11:07:56,d9b2fbc49f93bf04,-95,1,17.45620,78.41744
2026-02-08 11:07:59,d9b2fbc49f93bf04,-91,1,17.45621,78.41744
2026-02-08 11:08:03,d9b2fbc49f93bf04,-91,1,17.45620,78.41744
2026-02-08 11:08:06,ca35a3fa833215f8,-98,1,17.45619,78.41746
2026-02-08 11:08:27,d9b2fbc49f93bf04,-92,1,17.45614,78.41749
2026-02-08 11:08:31,d9b2fbc49f93bf04,-92,1,17.45614,78.41749
2026-02-08 11:08:32,0e8e1112fdc7f76a,-93,1,17.45614,78.41749
2026-02-08 11:08:38,d9b2fbc49f93bf04,-91,1,17.45614,78.41747
2026-02-08 11:08:41,ca35a3fa833215f8,-97,1,17.45615,78.41746
2026-02-08 11:08:45,d9b2fbc49f93bf04,-91,1,17.45614,78.41748
2026-02-08 11:08:51,341d8bf46afe4196,-98,1,17.45616,78.41748
2026-02-08 11:09:02,d9b2fbc49f93bf04,-91,1,17.45616,78.41749
2026-02-08 11:09:09,d9b2fbc49f93bf04,-90,1,17.45615,78.41747
2026-02-08 11:09:13,d9b2fbc49f93bf04,-90,1,17.45616,78.41746
2026-02-08 11:09:17,d9b2fbc49f93bf04,-91,1,17.45614,78.41744
2026-02-08 11:09:20,d9b2fbc49f93bf04,-91,1,17.45616,78.41744
2026-02-08 11:09:23,d9b2fbc49f93bf04,-92,1,17.45618,78.41744
2026-02-08 11:09:34,d9b2fbc49f93bf04,-92,1,17.45619,78.41747
2026-02-08 11:09:44,d9b2fbc49f93bf04,-93,1,17.45620,78.41747
2026-02-08 11:09:51,d9b2fbc49f93bf04,-91,1,17.45617,78.41746
